,date,bat_team,bowl_team,runs,wickets,overs,runs_last_5,wickets_last_5,total
0,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,1,0,0.1,1,0,222
1,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,1,0,0.2,1,0,222
2,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,2,0,0.2,2,0,222
3,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,2,0,0.3,2,0,222
4,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,2,0,0.4,2,0,222
5,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,2,0,0.5,2,0,222
6,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,3,0,0.6,3,0,222
7,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,3,0,1.1,3,0,222
8,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,7,0,1.2,7,0,222
9,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,11,0,1.3,11,0,222
10,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,17,0,1.4,17,0,222
11,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,21,0,1.5,21,0,222
12,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,21,0,1.6,21,0,222
13,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,21,0,2.1,21,0,222
14,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,21,0,2.2,21,0,222
15,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,22,0,2.3,22,0,222
16,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,26,0,2.4,26,0,222
17,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,27,0,2.5,27,0,222
18,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,27,0,2.6,27,0,222
19,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,32,0,3.0,32,0,222
20,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,38,0,3.1,38,0,222
21,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,39,0,3.2,39,0,222
22,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,43,0,3.3,43,0,222
23,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,43,0,3.4,43,0,222
24,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,44,0,3.5,44,0,222
25,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,50,0,3.6,50,0,222
26,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,54,0,4.1,54,0,222
27,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,55,0,4.2,55,0,222
28,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,59,0,4.3,59,0,222
29,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,59,0,4.4,59,0,222
30,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,60,0,4.5,59,0,222
31,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,60,0,4.6,59,0,222
32,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,61,0,5.1,59,0,222
33,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.2,59,1,222
34,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.3,59,1,222
35,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.4,59,1,222
36,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.5,58,1,222
37,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,61,1,5.6,58,1,222
38,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,62,1,6.1,55,1,222
39,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,63,1,6.2,52,1,222
40,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,64,1,6.3,47,1,222
41,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,66,1,6.4,45,1,222
42,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,67,1,6.5,46,1,222
43,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,68,1,6.6,47,1,222
44,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,68,1,7.1,47,1,222
45,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,69,1,7.2,47,1,222
46,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,70,1,7.3,44,1,222
47,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,71,1,7.4,44,1,222
48,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,72,1,7.5,45,1,222
49,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,7.6,41,1,222
50,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.1,35,1,222
51,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.2,34,1,222
52,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,73,1,8.3,30,1,222
53,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,74,1,8.4,31,1,222
54,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,75,1,8.5,31,1,222
55,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,77,1,8.6,27,1,222
56,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,78,1,9.1,24,1,222
57,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,79,1,9.2,24,1,222
58,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,80,1,9.3,21,1,222
59,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,80,1,9.4,21,1,222
60,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,86,1,9.5,26,1,222
61,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,87,1,9.6,27,1,222
62,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,88,1,10.1,27,1,222
63,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,92,1,10.2,31,0,222
64,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,92,1,10.3,31,0,222
65,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,98,1,10.4,37,0,222
66,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,98,1,10.5,37,0,222
67,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,102,1,10.6,41,0,222
68,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,102,1,11.1,40,0,222
69,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,108,1,11.2,45,0,222
70,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,110,1,11.3,46,0,222
71,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,111,1,11.4,45,0,222
