,bat_team_Chennai Super Kings,bat_team_Delhi Daredevils,bat_team_Kings XI Punjab,bat_team_Kolkata Knight Riders,bat_team_Mumbai Indians,bat_team_Rajasthan Royals,bat_team_Royal Challengers Bangalore,bat_team_Sunrisers Hyderabad,bowl_team_Chennai Super Kings,bowl_team_Delhi Daredevils,bowl_team_Kings XI Punjab,bowl_team_Kolkata Knight Riders,bowl_team_Mumbai Indians,bowl_team_Rajasthan Royals,bowl_team_Royal Challengers Bangalore,bowl_team_Sunrisers Hyderabad,overs,runs,wickets,runs_last_5,wickets_last_5
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.1,61,0,59,0
33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.2,61,1,59,1
34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.3,61,1,59,1
35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.4,61,1,59,1
36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.5,61,1,58,1
37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.6,61,1,58,1
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.1,62,1,55,1
39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.2,63,1,52,1
40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.3,64,1,47,1
41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.4,66,1,45,1
42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.5,67,1,46,1
43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.6,68,1,47,1
44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.1,68,1,47,1
45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.2,69,1,47,1
46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.3,70,1,44,1
47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.4,71,1,44,1
48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.5,72,1,45,1
49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.6,73,1,41,1
50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.1,73,1,35,1
51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.2,73,1,34,1
52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.3,73,1,30,1
53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.4,74,1,31,1
54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.5,75,1,31,1
55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.6,77,1,27,1
56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.1,78,1,24,1
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.2,79,1,24,1
58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.3,80,1,21,1
59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.4,80,1,21,1
60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.5,86,1,26,1
61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.6,87,1,27,1
62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.1,88,1,27,1
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.2,92,1,31,0
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.3,92,1,31,0
65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.4,98,1,37,0
66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.5,98,1,37,0
67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.6,102,1,41,0
68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.1,102,1,40,0
69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.2,108,1,45,0
70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.3,110,1,46,0
71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.4,111,1,45,0
72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.5,111,1,44,0
73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.6,112,1,44,0
